name,catalog,class,significance,cat_name,var_flag,streak_src_flag,pileup_flag,ra,dec,offset,missing,sat_src_flag,extent_flag,conf_flag,cat_ra,cat_dec
2CXO J202127.8+372431,SKIFF,STAR,4.666666666666751,[KB61] +37 150             ,1,0,0,305.36609865720817,37.40872156725764,0.4473307701995729,0.35384615384615387,0,0,0,305.3659583,37.40866670000001
2CXO J230459.6+121205,VERONCAT,AGN,13.611400957321345,XBS J23049+1212  ,0,0,0,346.2484159073059,12.20145109854018,0.4474072403296093,0.2923076923076923,0,0,0,346.2483,12.2014
2CXO J212419.3-004646,VERONCAT,AGN,6.439917258386668,SDSS J21243-0046 ,0,0,0,321.08069795607867,-0.779470978516044,0.4474582011960567,0.36923076923076925,0,0,0,321.0808,-0.7794
2CXO J123719.8+620955,VERONCAT,AGN,11.863975505628714,SO3-MD12         ,0,0,0,189.33275883585918,62.16532907190237,0.4474930308144969,0.26153846153846155,0,0,0,189.3325,62.1653
2CXO J085915.9-434017,SPICY,YSO,6.824439613796322,2479,1,0,0,134.81655631625313,-43.671657337191135,0.4475138810048579,0.4307692307692308,0,0,0,134.816728,-43.671663
2CXO J170355.7+604511,VERONCAT,AGN,12.91341969089483,MS 17032+6049    ,0,0,0,255.98230791876745,60.75317172789039,0.44767729801350414,0.24615384615384617,0,0,0,255.9821,60.7531
2CXO J111312.4-262754,SKIFF,STAR,44.92601898339483,TT Hya                     ,0,0,0,168.30202733854617,-26.465197124450306,0.4477004346143044,0.4307692307692308,0,0,0,168.30208330000005,-26.4650833
2CXO J182836.7-125950,SKIFF,STAR,5.718909885275388,HD 170159                  ,0,0,0,277.15294090242037,-12.997377500476437,0.4477358219282031,0.2923076923076923,0,0,0,277.1528333,-12.9974444
2CXO J114851.6+124949,VERONCAT,AGN,14.050346169321516,SDSS J11488+1249 ,0,0,0,177.2153996398539,12.830475615339449,0.44778656241697945,0.36923076923076925,0,0,0,177.2154,12.8306
2CXO J053507.1-051830,SKIFF,STAR,5.636363636363767,[H97b] 5064                ,0,0,0,83.77974624319478,-5.308347858934988,0.4478303521127665,0.2923076923076923,0,0,0,83.77975,-5.3084722
2CXO J075802.5-604846,SKIFF,STAR,4.971428571428559,CPD-60 978                 ,0,0,0,119.51061121225,-60.81291947931453,0.4479258403776247,0.5230769230769231,0,0,0,119.5104167,-60.813
2CXO J084854.4+445150,VERONCAT,AGN,15.042358294628329,CXO J08489+4451  ,0,0,0,132.2269307762483,44.863933122088454,0.4479567047704259,0.12307692307692308,0,0,0,132.2271,44.8639
2CXO J100033.4+015237,VERONCAT,AGN,5.5456285664984915,SDSS J10005+0152 ,0,0,0,150.13918419270487,1.8770234271109552,0.4479628901760701,0.07692307692307693,0,0,0,150.1392,1.8769
2CXO J122254.1+154912,ULXRBCAT,ULX,24.84088836926593,NGC 4321 ULX4        ,1,0,0,185.72554804153006,15.820096341778614,0.44811925026911664,0.4153846153846154,0,0,0,185.725542,15.819972
2CXO J194327.5+232622,SPICY,YSO,1.7894736842105476,106243,0,0,0,295.86480636013835,23.439700172277174,0.44822017950421206,0.2923076923076923,0,0,0,295.864942,23.43970400000001
2CXO J221603.1-174316,VERONCAT,AGN,17.197233522213512,XMS J22160-1743  ,0,0,0,334.01302572229486,-17.721365855676478,0.4483041928999802,0.26153846153846155,0,0,0,334.0129,-17.7214
2CXO J085058.8+115138,VERONCAT,AGN,9.712883480909552,LB 3597          ,0,0,0,132.74510187297741,11.860674670331752,0.4484183470511394,0.3230769230769231,0,0,0,132.745,11.8606
2CXO J005952.2-073447,simbad,ULX,5.528264159115398,CXOU J005952.3-073447              ,0,0,0,14.967900471808207,-7.5798459010180625,0.448978667073813,0.46153846153846156,0,0,0,14.967916666666666,-7.579722222222222
2CXO J165417.4-415635,SPICY,YSO,4.111111111111232,43652,0,0,0,253.5728988809824,-41.943056212781755,0.4490850841824228,0.3076923076923077,0,0,0,253.57281,-41.943162
2CXO J090835.4-491305,SIMBAD,PULSAR,3.2352941176471983,PSR B0906-49                       ,0,0,0,137.14753251979442,-49.21818283125178,0.4490902344170977,0.5384615384615384,0,0,0,137.14762083333332,-49.218072222222226
2CXO J102700.5+364016,VERONCAT,AGN,3.6470588235294015,SDSS J10270+3640 ,0,0,0,156.75234777659614,36.67112585345802,0.44928747307531297,0.36923076923076925,0,0,0,156.7525,36.6711
2CXO J165418.3-415135,SKIFF,STAR,2.1000000000000294,NGC 6231 238               ,0,0,0,253.57647473885768,-41.859849668985056,0.4494930787696021,0.49230769230769234,0,0,0,253.5763333,-41.8599167
2CXO J174703.5-292356,SKIFF,STAR,5.142857142857622,CPD-29 4883                ,0,0,0,266.7648428866967,-29.399142943399173,0.4495907553808412,0.2923076923076923,0,0,0,266.7649167,-29.39925
2CXO J150903.5-584821,SKIFF,STAR,16.687207406744946,Cl Loden 2045 15           ,0,0,0,227.26480273416541,-58.805896974480106,0.4496904868106679,0.3230769230769231,0,0,0,227.264875,-58.8057778
2CXO J071841.9-245850,SKIFF,STAR,16.29061174792275,Cl* NGC 2362 D 66          ,1,0,0,109.67469845895157,-24.980695901795748,0.4500857424207892,0.3384615384615385,0,0,0,109.6748333,-24.9807222
2CXO J071851.1-245434,SKIFF,STAR,5.352941176470849,Cl* NGC 2362 D 116         ,0,0,0,109.71326355543717,-24.909454120329,0.45029257821022456,0.4307692307692308,0,0,0,109.713375,-24.90952780000001
2CXO J040350.8+261052,SKIFF,STAR,16.739172937787746,NTTS 040047+2603E          ,0,0,0,60.96186826037217,26.181323313549534,0.4503055360967195,0.3384615384615385,0,0,0,60.9618333,26.1814444
2CXO J121217.2+131218,VERONCAT,AGN,2.2631578947368323,NGC 4168         ,0,0,0,183.0720337878404,13.205107291592894,0.4506009655534939,0.26153846153846155,0,0,0,183.0721,13.205
2CXO J171515.3-402007,SKIFF,STAR,2.000000000000034,HD 327083                  ,0,0,0,258.8139673324272,-40.33533386563386,0.4508310042255214,0.36923076923076925,0,0,0,258.8140417,-40.3352222
2CXO J213701.3+572446,SKIFF,STAR,5.4285714285716065,J213701401+572445873       ,0,0,0,324.2556489382725,57.412826368404204,0.4509557267618661,0.24615384615384617,0,0,0,324.2558333,57.41275
2CXO J084234.9+362503,VERONCAT,AGN,1.6923076923076468,SDSS J08425+3625 ,0,0,0,130.64574240581726,36.417616412105076,0.4510757922352758,0.3076923076923077,0,0,0,130.6458,36.4175
2CXO J064047.2+093109,SKIFF,STAR,5.314285714285943,Cl* NGC 2264 DS 145        ,0,0,0,100.19675287549046,9.519202664255703,0.4512789599264035,0.27692307692307694,0,0,0,100.1967917,9.519083300000002
